iteration,instance_idx,stress
0,0,1867501.319402333
0,1,1287025.9991750764
0,2,683779.953689694
0,3,929959.0678993072
0,4,672564.9935414575
0,5,705796.2596499823
0,6,875050.5567028681
0,7,653030.4441162299
0,8,774673.2684963495
0,9,1080517.8225382704
1,0,879412.7951595548
1,1,1047614.9568590511
1,2,1261374.0972024605
1,3,825661.6788377232
1,4,1016699.473877891
1,5,565740.2792254486
1,6,943845.8659655409
1,7,643814.9961153851
1,8,1203338.2177723134
1,9,611502.3546450454
2,0,561901.3687968227
2,1,1151623.9078432017
2,2,905489.4345821512
2,3,1445958.0508510233
2,4,994568.5585684655
2,5,698622.5267053877
2,6,758988.1887636783
2,7,649231.4229622202
2,8,856947.754417013
2,9,588795.3155914014
3,0,1217587.507010218
3,1,1168734.2473698899
3,2,646088.3182372483
3,3,669615.9899508584
3,4,608910.150765695
3,5,563540.9185591935
3,6,739220.0096613956
3,7,1657151.9333751386
3,8,820382.0283364519
3,9,945880.4449725735
4,0,625817.1017798162
4,1,694788.8082180105
4,2,606079.7188991102
4,3,1455970.9480148284
4,4,878708.0516838294
4,5,658597.3072828293
4,6,597892.7016212968
4,7,1603205.757380502
4,8,988726.8422701636
4,9,1453032.7579352825
5,0,837588.9628002078
5,1,2134206.1174328886
5,2,1169399.6663096456
5,3,761133.7236893065
5,4,990259.2393305235
5,5,668966.405356976
5,6,659944.4930275811
5,7,779185.4497243951
5,8,582927.8512302312
5,9,629228.2262422026
6,0,972538.818789942
6,1,726001.4835941213
6,2,806261.8426036367
6,3,621514.7159320584
6,4,951848.8076926827
6,5,554955.3924018338
6,6,850593.3265545199
6,7,685568.0519109102
6,8,811475.3420473635
6,9,942702.6655924632
7,0,839124.7324921329
7,1,637284.2970470171
7,2,974133.9734491998
7,3,983245.5428970476
7,4,614786.8848967942
7,5,939613.0528745456
7,6,922805.047339867
7,7,556029.28277023
7,8,625765.9936634423
7,9,854190.0243531055
8,0,531858.3259805433
8,1,545089.186810337
8,2,1152627.6393624037
8,3,556896.1398784629
8,4,1435032.9209064397
8,5,967074.9035846766
8,6,1001705.8996314052
8,7,703562.9328551537
8,8,592665.3831574238
8,9,914389.3637037969
9,0,1279406.9375602002
9,1,841574.4522705654
9,2,848447.4413711742
9,3,854371.0801301908
9,4,1516127.6046320044
9,5,757917.7535461298
9,6,783084.6918567604
9,7,643058.1135649136
9,8,731082.1847377148
9,9,1003603.5874435643
10,0,1115829.3946507236
10,1,708358.0909766587
10,2,597155.0032713878
10,3,659058.6033767416
10,4,621899.5877019033
10,5,868927.8506374263
10,6,833082.5654805969
10,7,559508.0362573387
10,8,638691.516014435
10,9,715660.9667507994
11,0,594736.410063502
11,1,1083811.4992919792
11,2,1238354.9878416203
11,3,1142093.1192866229
11,4,1002083.0894725682
11,5,1283241.3531437377
11,6,1348466.785882932
11,7,862332.6509780018
11,8,880254.3942049128
11,9,610172.9966200555
12,0,751976.7550526641
12,1,685249.7257000013
12,2,894478.4861819054
12,3,661991.5129548667
12,4,645208.0589577047
12,5,673072.0871844252
12,6,1125680.3448547923
12,7,1157969.9676473348
12,8,656387.4795363353
12,9,709501.357505506
13,0,610397.9010547216
13,1,835812.9788939343
13,2,847817.190562411
13,3,528631.2666724748
13,4,646631.9551869518
13,5,1416329.2521614698
13,6,1010125.7196775216
13,7,545988.4918976064
13,8,688607.4374974484
13,9,799782.4261159253
14,0,568457.3806181907
14,1,695064.6596133197
14,2,1227860.4076698394
14,3,604438.9715634142
14,4,628661.7641449341
14,5,838180.3734319257
14,6,1068544.0160018213
14,7,844964.9802106977
14,8,1215316.4724526624
14,9,1192185.9712126018
15,0,809969.156736923
15,1,700409.2931314466
15,2,721353.8979482829
15,3,572685.6981005616
15,4,1230806.629808093
15,5,726593.7344630504
15,6,935599.4584898493
15,7,672194.1523573187
15,8,1082796.6834505275
15,9,752322.7370009031
16,0,1561338.7616114393
16,1,819631.0180409022
16,2,583405.9890105476
16,3,629764.0547964481
16,4,1281819.5005351184
16,5,878681.1220249964
16,6,603714.6207585661
16,7,590400.02613731
16,8,913158.4014638715
16,9,1096184.450385372
17,0,1010066.1163469
17,1,658387.398172368
17,2,1202698.1325563379
17,3,1105259.7046229376
17,4,840830.850765106
17,5,557887.9253972658
17,6,641740.8011891457
